account_id,account_manager,company_type,sub_team_id,geography,industry,sub_industry
A-0444200,tisch,D,52,central,Industrial & Engineering,Agricultural Machinery
A-0446900,maibanr,C,60,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0449443,zarupi,C,50,north,Food & Beverage,Food - Perishables & Fresh
A-0450043,zarupi,D,50,north,Food & Beverage,Food - Perishables & Fresh
A-0454829,feacoo,A,54,west,Healthcare,Medical Devices & Instruments
A-0456214,maarcí,E,54,west,Apparel,Textiles
A-0045971,jonbuho,B,61,central,Retail & Consumer Goods,Furniture & Furnishings
A-0467029,tauida,E,48,central,Other,Other
A-0057714,lehae,A,52,central,Other,Others
A-0067629,maeaßmh,C,52,central,Agriculture,Livestock
A-0069314,thuranru,C,59,central,Retail & Consumer Goods,Furniture & Furnishings
A-0070900,lehae,C,52,central,Logistics,Freight Forwarding
A-0072671,lehae,A,52,central,Other,Other
A-0087414,lehae,E,52,central,Other,Other
A-0101914,beasohe,A,52,central,Apparel,Textiles
A-0109971,lunig,A,52,central,Other,Other
A-0128071,lunig,A,52,central,Retail & Consumer Goods,Household supplies
A-0136857,faarocte,C,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0159114,chsgenle,C,50,north,Retail & Consumer Goods,"Print, Books & Media"
A-0179871,lehae,A,52,central,Other,Other
A-0189329,beasohe,A,52,central,Other,Other
A-0025386,lunig,D,52,central,Other,Others
A-0256743,beasohe,A,52,central,Other,Other
A-0257857,lehae,A,52,central,Food & Beverage,Food - Perishables & Fresh
A-0279286,anéerkg,D,61,central,Apparel,Apparel - General
A-0028157,beasohe,A,52,central,Other,Other
A-0287886,beasohe,A,52,central,Other,Other
A-0294771,lunig,C,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0030029,,A,52,central,Other,Other
A-0340000,mahkaos,D,59,central,Retail & Consumer Goods,Household supplies
A-0038229,beasohe,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0417243,anéerkg,D,61,central,Technology,Electronic devices
A-0041743,beasohe,A,52,central,Other,Other
A-0417700,grorie,D,59,central,Retail & Consumer Goods,Furniture & Furnishings
A-0420443,lunig,C,52,central,Logistics,Other Logistics
A-0420943,faaonr,D,61,central,Industrial & Engineering,Electrical Engineering
A-0421829,lunig,A,52,central,Chemicals,Chemicals
A-0434529,leaborsk,D,58,central,Technology,Computers & Peripherals
A-0436829,daeali,D,60,central,Logistics,Freight Forwarding
A-0436929,jonungns,D,60,central,Construction,Building Materials
A-0438857,pifman,D,52,central,Apparel,Apparel - General
A-0438900,maibanr,C,60,central,Retail & Consumer Goods,Childcare products
A-0441271,lunig,A,52,central,Other,Other
A-0450386,eviboe,D,50,north,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0452186,lunig,C,52,central,Retail & Consumer Goods,Entertainment & Leisure
A-0456700,thuranru,C,59,central,Apparel,Apparel - General
A-0463457,alnbulca,D,60,central,Chemicals,Chemicals
A-0476957,toaarqrd,C,60,central,Retail & Consumer Goods,Other
A-0479271,leaborsk,D,55,south,Apparel,Apparel - General
A-0479786,chsgenle,A,50,north,Apparel,Accessories
A-0056257,lehae,E,52,central,Other,Other
A-0058929,beasohe,A,52,central,Other,Other
A-0060329,peruon,C,59,central,Resources (Processed),"Stones, Earthes & Minerals - Processed"
